STATISTIC,Statistic Label,Month,month_date,Meteorological Weather Station,UNIT,VALUE,latitude,longitude
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Dublin airport,Number,99.30,53.421,-6.270
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Kilkenny,Number,77.40,52.651,-7.256
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Malin head,Number,81.30,55.385,-7.378
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Mullingar,Number,96.00,53.525,-7.340
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Roches Point,Number,77.50,51.785,-8.252
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Rosslare,Number,101.00,52.261,-6.331
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Shannon airport,Number,73.10,52.684,-8.925
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Belmullet,Number,70.70,54.226,-9.992
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Birr,Number,71.90,53.095,-7.902
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Valentia Observatory,Number,64.60,51.936,-10.244
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Claremorris,Number,52.10,53.719,-9.006
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Clones,Number,40.80,54.195,-7.234
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Dublin airport,Number,69.20,53.421,-6.270
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Kilkenny,Number,67.30,52.651,-7.256
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Malin head,Number,71.40,55.385,-7.378
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Mullingar,Number,56.00,53.525,-7.340
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Roches Point,Number,54.80,51.785,-8.252
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Rosslare,Number,55.60,52.261,-6.331
MTM03C1,Total Sunshine Hours,1959M02,1959-02-01,Shannon airport,Number,77.60,52.684,-8.925
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Belmullet,Number,138.10,54.226,-9.992
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Birr,Number,105.20,53.095,-7.902
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Valentia Observatory,Number,102.00,51.936,-10.244
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Claremorris,Number,95.80,53.719,-9.006
